Date,(All)
,
Row Labels,Sum of Average_price_delhi
Amla,29438.33333
Baby Corn,30494.33333
Butter Beans,33054.33333
Drumsticks,41697.33333
French Beans,22710.33333
Garlic,30035.66667
Green Peas,36976.66667
Lemon (Lime),28543.33333
Mango Raw,37712
Mushroom,41948.33333
Grand Total,332610.6667
