,Date,Vegetable,Wholesale Price,Retail Price,Shopping Mall Price,Units
105,2023-03-30,Sorrel Leaves,14,17,20,1kg
106,2023-03-30,Spinach,15,18,21,1kg
107,2023-03-30,Sweet Potato,39,47,55,1kg
108,2023-03-29,Onion Big,18,22,26,1kg
109,2023-03-29,Onion Small,55,66,78,1kg
110,2023-03-29,Tomato,21,25,30,1kg
111,2023-03-29,Green Chilli,41,49,58,1kg
112,2023-03-29,Beetroot,28,34,40,1kg
113,2023-03-29,Potato,32,39,45,1kg
114,2023-03-29,Raw Banana (Plantain),10,12,14,1kg
115,2023-03-29,Amaranth Leaves,14,17,20,1kg
116,2023-03-29,Amla,50,61,71,1kg
117,2023-03-29,Ash gourd,20,24,28,1kg
118,2023-03-29,Baby Corn,59,71,84,1kg
119,2023-03-29,Banana Flower,21,25,30,1kg
120,2023-03-29,Capsicum,48,58,68,1kg
121,2023-03-29,Bitter Gourd,33,40,47,1kg
122,2023-03-29,Bottle Gourd,26,31,37,1kg
123,2023-03-29,Butter Beans,50,61,71,1kg
124,2023-03-29,Broad Beans,41,49,58,1kg
125,2023-03-29,Cabbage,14,17,20,1kg
126,2023-03-29,Carrot,29,35,41,1kg
127,2023-03-29,Cauliflower,24,29,34,1kg
128,2023-03-29,Cluster beans,41,49,58,1kg
129,2023-03-29,Coconut,26,31,37,1kg
130,2023-03-29,Colocasia Leaves,16,19,22,1kg
131,2023-03-29,Colocasia,28,34,40,1kg
132,2023-03-29,Coriander Leaves,6,7,8,1kg
133,2023-03-29,Corn,28,34,40,1kg
134,2023-03-29,Cucumber,30,36,43,1kg
135,2023-03-29,Curry Leaves,28,34,40,1kg
136,2023-03-29,Dill Leaves,10,12,14,1kg
137,2023-03-29,Drumsticks,120,145,171,1kg
138,2023-03-29,Brinjal,20,24,28,1kg
139,2023-03-29,Brinjal (Big),23,27,33,1kg
140,2023-03-29,Elephant Yam,29,35,41,1kg
141,2023-03-29,Fenugreek Leaves,9,10,13,1kg
142,2023-03-29,French Beans,42,50,59,1kg
143,2023-03-29,Garlic,58,70,83,1kg
144,2023-03-29,Ginger,44,53,63,1kg
145,2023-03-29,Onion Green,44,53,63,1kg
146,2023-03-29,Green Peas,81,98,115,1kg
147,2023-03-29,Ivy Gourd,22,26,31,1kg
148,2023-03-29,Lemon (Lime),54,65,77,1kg
149,2023-03-29,Mango Raw,98,118,140,1kg
150,2023-03-29,Mint Leaves,6,7,8,1kg
151,2023-03-29,Mushroom,72,87,102,1kg
152,2023-03-29,Mustard Leaves,16,19,22,1kg
153,2023-03-29,Ladies Finger,50,61,71,1kg
154,2023-03-29,Pumpkin,24,29,34,1kg
155,2023-03-29,Radish,25,30,35,1kg
156,2023-03-29,Ridge Gourd,30,36,43,1kg
157,2023-03-29,Shallot (Pearl Onion),34,41,48,1kg
158,2023-03-29,Snake Gourd,30,36,43,1kg
159,2023-03-29,Sorrel Leaves,14,17,20,1kg
160,2023-03-29,Spinach,15,18,21,1kg
161,2023-03-29,Sweet Potato,39,47,55,1kg
162,2023-03-28,Onion Big,22,26,31,1kg
163,2023-03-28,Onion Small,56,67,79,1kg
164,2023-03-28,Tomato,23,27,33,1kg
165,2023-03-28,Green Chilli,45,54,64,1kg
166,2023-03-28,Beetroot,30,36,43,1kg
167,2023-03-28,Potato,31,37,44,1kg
168,2023-03-28,Raw Banana (Plantain),9,10,13,1kg
169,2023-03-28,Amaranth Leaves,13,16,18,1kg
170,2023-03-28,Amla,70,85,100,1kg
171,2023-03-28,Ash gourd,21,25,30,1kg
172,2023-03-28,Baby Corn,59,71,84,1kg
173,2023-03-28,Banana Flower,14,17,20,1kg
174,2023-03-28,Capsicum,45,54,64,1kg
175,2023-03-28,Bitter Gourd,33,40,47,1kg
176,2023-03-28,Bottle Gourd,27,32,38,1kg
177,2023-03-28,Butter Beans,47,57,67,1kg
178,2023-03-28,Broad Beans,38,46,54,1kg
179,2023-03-28,Cabbage,11,13,15,1kg
180,2023-03-28,Carrot,29,35,41,1kg
181,2023-03-28,Cauliflower,25,30,35,1kg
182,2023-03-28,Cluster beans,44,53,63,1kg
183,2023-03-28,Coconut,28,34,40,1kg
184,2023-03-28,Colocasia Leaves,13,16,18,1kg
185,2023-03-28,Colocasia,27,32,38,1kg
186,2023-03-28,Coriander Leaves,6,7,8,1kg
187,2023-03-28,Corn,27,32,38,1kg
188,2023-03-28,Cucumber,29,35,41,1kg
189,2023-03-28,Curry Leaves,25,30,35,1kg
190,2023-03-28,Dill Leaves,14,17,20,1kg
191,2023-03-28,Drumsticks,100,121,142,1kg
192,2023-03-28,Brinjal,27,32,38,1kg
193,2023-03-28,Brinjal (Big),29,35,41,1kg
194,2023-03-28,Elephant Yam,29,35,41,1kg
195,2023-03-28,Fenugreek Leaves,11,13,15,1kg
196,2023-03-28,French Beans,42,50,59,1kg
197,2023-03-28,Garlic,52,63,74,1kg
198,2023-03-28,Ginger,50,61,71,1kg
199,2023-03-28,Onion Green,45,54,64,1kg
200,2023-03-28,Green Peas,83,100,118,1kg
201,2023-03-28,Ivy Gourd,27,32,38,1kg
202,2023-03-28,Lemon (Lime),55,66,78,1kg
203,2023-03-28,Mango Raw,86,104,122,1kg
204,2023-03-28,Mint Leaves,5,6,7,1kg
205,2023-03-28,Mushroom,84,102,120,1kg
206,2023-03-28,Mustard Leaves,14,17,20,1kg
207,2023-03-28,Ladies Finger,47,57,67,1kg
208,2023-03-28,Pumpkin,20,24,28,1kg
209,2023-03-28,Radish,26,31,37,1kg
210,2023-03-28,Ridge Gourd,31,37,44,1kg
211,2023-03-28,Shallot (Pearl Onion),32,39,45,1kg
212,2023-03-28,Snake Gourd,28,34,40,1kg
213,2023-03-28,Sorrel Leaves,12,14,17,1kg
214,2023-03-28,Spinach,12,14,17,1kg
215,2023-03-28,Sweet Potato,39,47,55,1kg
216,2023-03-27,Onion Big,22,26,31,1kg
217,2023-03-27,Onion Small,56,67,79,1kg
218,2023-03-27,Tomato,23,27,33,1kg
219,2023-03-27,Green Chilli,45,54,64,1kg
220,2023-03-27,Beetroot,30,36,43,1kg
221,2023-03-27,Potato,31,37,44,1kg
222,2023-03-27,Raw Banana (Plantain),9,10,13,1kg
223,2023-03-27,Amaranth Leaves,13,16,18,1kg
224,2023-03-27,Amla,70,85,100,1kg
225,2023-03-27,Ash gourd,21,25,30,1kg
226,2023-03-27,Baby Corn,59,71,84,1kg
227,2023-03-27,Banana Flower,14,17,20,1kg
228,2023-03-27,Capsicum,45,54,64,1kg
229,2023-03-27,Bitter Gourd,33,40,47,1kg
230,2023-03-27,Bottle Gourd,27,32,38,1kg
231,2023-03-27,Butter Beans,47,57,67,1kg
232,2023-03-27,Broad Beans,38,46,54,1kg
233,2023-03-27,Cabbage,11,13,15,1kg
234,2023-03-27,Carrot,29,35,41,1kg
235,2023-03-27,Cauliflower,25,30,35,1kg
236,2023-03-27,Cluster beans,44,53,63,1kg
237,2023-03-27,Coconut,28,34,40,1kg
238,2023-03-27,Colocasia Leaves,13,16,18,1kg
239,2023-03-27,Colocasia,27,32,38,1kg
240,2023-03-27,Coriander Leaves,6,7,8,1kg
241,2023-03-27,Corn,27,32,38,1kg
242,2023-03-27,Cucumber,29,35,41,1kg
243,2023-03-27,Curry Leaves,25,30,35,1kg
244,2023-03-27,Dill Leaves,14,17,20,1kg
245,2023-03-27,Drumsticks,100,121,142,1kg
246,2023-03-27,Brinjal,27,32,38,1kg
247,2023-03-27,Brinjal (Big),29,35,41,1kg
248,2023-03-27,Elephant Yam,29,35,41,1kg
249,2023-03-27,Fenugreek Leaves,11,13,15,1kg
250,2023-03-27,French Beans,42,50,59,1kg
251,2023-03-27,Garlic,52,63,74,1kg
252,2023-03-27,Ginger,50,61,71,1kg
253,2023-03-27,Onion Green,45,54,64,1kg
254,2023-03-27,Green Peas,83,100,118,1kg
255,2023-03-27,Ivy Gourd,27,32,38,1kg
256,2023-03-27,Lemon (Lime),55,66,78,1kg
257,2023-03-27,Mango Raw,86,104,122,1kg
258,2023-03-27,Mint Leaves,5,6,7,1kg
259,2023-03-27,Mushroom,84,102,120,1kg
260,2023-03-27,Mustard Leaves,14,17,20,1kg
261,2023-03-27,Ladies Finger,47,57,67,1kg
262,2023-03-27,Pumpkin,20,24,28,1kg
263,2023-03-27,Radish,26,31,37,1kg
264,2023-03-27,Ridge Gourd,31,37,44,1kg
265,2023-03-27,Shallot (Pearl Onion),32,39,45,1kg
266,2023-03-27,Snake Gourd,28,34,40,1kg
267,2023-03-27,Sorrel Leaves,12,14,17,1kg
268,2023-03-27,Spinach,12,14,17,1kg
269,2023-03-27,Sweet Potato,39,47,55,1kg
270,2023-03-26,Onion Big,22,26,31,1kg
271,2023-03-26,Onion Small,56,67,79,1kg
272,2023-03-26,Tomato,23,27,33,1kg
273,2023-03-26,Green Chilli,45,54,64,1kg
274,2023-03-26,Beetroot,30,36,43,1kg
275,2023-03-26,Potato,31,37,44,1kg
276,2023-03-26,Raw Banana (Plantain),9,10,13,1kg
277,2023-03-26,Amaranth Leaves,13,16,18,1kg
278,2023-03-26,Amla,70,85,100,1kg
279,2023-03-26,Ash gourd,21,25,30,1kg
280,2023-03-26,Baby Corn,59,71,84,1kg
281,2023-03-26,Banana Flower,14,17,20,1kg
282,2023-03-26,Capsicum,45,54,64,1kg
283,2023-03-26,Bitter Gourd,33,40,47,1kg
284,2023-03-26,Bottle Gourd,27,32,38,1kg
285,2023-03-26,Butter Beans,47,57,67,1kg
286,2023-03-26,Broad Beans,38,46,54,1kg
287,2023-03-26,Cabbage,11,13,15,1kg
288,2023-03-26,Carrot,29,35,41,1kg
289,2023-03-26,Cauliflower,25,30,35,1kg
290,2023-03-26,Cluster beans,44,53,63,1kg
291,2023-03-26,Coconut,28,34,40,1kg
292,2023-03-26,Colocasia Leaves,13,16,18,1kg
293,2023-03-26,Colocasia,27,32,38,1kg
294,2023-03-26,Coriander Leaves,6,7,8,1kg
295,2023-03-26,Corn,27,32,38,1kg
296,2023-03-26,Cucumber,29,35,41,1kg
297,2023-03-26,Curry Leaves,25,30,35,1kg
298,2023-03-26,Dill Leaves,14,17,20,1kg
299,2023-03-26,Drumsticks,100,121,142,1kg
300,2023-03-26,Brinjal,27,32,38,1kg
301,2023-03-26,Brinjal (Big),29,35,41,1kg
302,2023-03-26,Elephant Yam,29,35,41,1kg
303,2023-03-26,Fenugreek Leaves,11,13,15,1kg
304,2023-03-26,French Beans,42,50,59,1kg
305,2023-03-26,Garlic,52,63,74,1kg
306,2023-03-26,Ginger,50,61,71,1kg
307,2023-03-26,Onion Green,45,54,64,1kg
308,2023-03-26,Green Peas,83,100,118,1kg
309,2023-03-26,Ivy Gourd,27,32,38,1kg
310,2023-03-26,Lemon (Lime),55,66,78,1kg
311,2023-03-26,Mango Raw,86,104,122,1kg
312,2023-03-26,Mint Leaves,5,6,7,1kg
313,2023-03-26,Mushroom,84,102,120,1kg
314,2023-03-26,Mustard Leaves,14,17,20,1kg
315,2023-03-26,Ladies Finger,47,57,67,1kg
316,2023-03-26,Pumpkin,20,24,28,1kg
317,2023-03-26,Radish,26,31,37,1kg
318,2023-03-26,Ridge Gourd,31,37,44,1kg
319,2023-03-26,Shallot (Pearl Onion),32,39,45,1kg
320,2023-03-26,Snake Gourd,28,34,40,1kg
321,2023-03-26,Sorrel Leaves,12,14,17,1kg
322,2023-03-26,Spinach,12,14,17,1kg
323,2023-03-26,Sweet Potato,39,47,55,1kg
324,2023-03-25,Onion Big,20,24,28,1kg
325,2023-03-25,Onion Small,53,64,75,1kg
326,2023-03-25,Tomato,23,27,33,1kg
327,2023-03-25,Green Chilli,42,50,59,1kg
328,2023-03-25,Beetroot,24,29,34,1kg
329,2023-03-25,Potato,33,40,47,1kg
330,2023-03-25,Raw Banana (Plantain),10,12,14,1kg
331,2023-03-25,Amaranth Leaves,12,14,17,1kg
332,2023-03-25,Amla,60,72,85,1kg
333,2023-03-25,Ash gourd,24,29,34,1kg
334,2023-03-25,Baby Corn,64,77,91,1kg
335,2023-03-25,Banana Flower,18,22,26,1kg
336,2023-03-25,Capsicum,43,52,61,1kg
337,2023-03-25,Bitter Gourd,30,36,43,1kg
338,2023-03-25,Bottle Gourd,24,29,34,1kg
339,2023-03-25,Butter Beans,49,59,70,1kg
340,2023-03-25,Broad Beans,42,50,59,1kg
341,2023-03-25,Cabbage,14,17,20,1kg
342,2023-03-25,Carrot,30,36,43,1kg
343,2023-03-25,Cauliflower,27,32,38,1kg
344,2023-03-25,Cluster beans,44,53,63,1kg
345,2023-03-25,Coconut,30,36,43,1kg
346,2023-03-25,Colocasia Leaves,12,14,17,1kg
347,2023-03-25,Colocasia,27,32,38,1kg
348,2023-03-25,Coriander Leaves,6,7,8,1kg
349,2023-03-25,Corn,25,30,35,1kg
350,2023-03-25,Cucumber,28,34,40,1kg
351,2023-03-25,Curry Leaves,27,32,38,1kg
352,2023-03-25,Dill Leaves,13,16,18,1kg
353,2023-03-25,Drumsticks,100,121,142,1kg
354,2023-03-25,Brinjal,24,29,34,1kg
355,2023-03-25,Brinjal (Big),22,26,31,1kg
356,2023-03-25,Elephant Yam,24,29,34,1kg
357,2023-03-25,Fenugreek Leaves,10,12,14,1kg
358,2023-03-25,French Beans,40,48,57,1kg
359,2023-03-25,Garlic,60,72,85,1kg
360,2023-03-25,Ginger,47,57,67,1kg
361,2023-03-25,Onion Green,38,46,54,1kg
362,2023-03-25,Green Peas,76,92,108,1kg
363,2023-03-25,Ivy Gourd,24,29,34,1kg
364,2023-03-25,Lemon (Lime),50,61,71,1kg
365,2023-03-25,Mango Raw,101,122,144,1kg
366,2023-03-25,Mint Leaves,3,3,4,1kg
